JENIS_DAGANGAN,BULAN,TAHUN,NEGERI,KAWASAN,SAIZ_SYARIKAT,KOD_DESTINASI_EKSPORT,KOD_NEGARA_ASAL,KAWASAN_EKONOMI,JUMLAH_DAGANGAN_RM,BARANGAN_UTAMA,DESTINASI_EKSPORT,NEGARA_ASAL
IMPORT,10,2018,SARAWAK,SARAWAK,SME_SMALL,MY,CN,"OTHER COUNTRIES, NES",158592.06,"IKAN, SEGAR, DIDINGINKAN ATAU DISEJUKBEKUKAN",Malaysia,China
IMPORT,4,2018,WP KUALA LUMPUR,SEMENANJUNG,LARGE,MY,NL,EU,144427.0,LITAR ELEKTRONIK BERSEPADU,Malaysia,"Netherlands, Kingdom of the"
IMPORT,7,2014,JOHOR,SEMENANJUNG,LARGE,MY,NL,EU,912131.86,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,"Netherlands, Kingdom of the"
IMPORT,9,2022,SELANGOR,SEMENANJUNG,SME_MEDIUM,MY,SG,AFTA,6632.0,"PERKILANGAN LOGAM, TSTL",Malaysia,Singapore
IMPORT,5,2023,SELANGOR,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",194096.0,ALAT GANTI & AKSESORI BAGI MESIN PEJABAT & KELENGKAPAN PEMPROSESAN DATA AUTOMATIK,Malaysia,China
IMPORT,5,2024,SELANGOR,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",1833351.0,LITAR ELEKTRONIK BERSEPADU,Malaysia,China
IMPORT,11,2023,PULAU PINANG,SEMENANJUNG,LARGE,MY,US,NAFTA,115994.0,"KELENGKAPAN TELEKOMUNIKASI, ALAT GANTI DAN AKSESORI",Malaysia,United States of America
IMPORT,3,2022,JOHOR,SEMENANJUNG,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",8124.0,"BARANG-BARANG PLASTIK, TSTL",Malaysia,China
IMPORT,1,2019,SARAWAK,SARAWAK,LARGE,MY,US,NAFTA,17356.55,KELENGKAPAN PEMANASAN & PENDINGINAN & ALAT GANTI,Malaysia,United States of America
IMPORT,6,2015,SELANGOR,SEMENANJUNG,SME_SMALL,MY,FR,EU,11376.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,France
IMPORT,1,2023,SELANGOR,SEMENANJUNG,SME_SMALL,MY,DE,EU,1291.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,Germany
IMPORT,10,2024,WP KUALA LUMPUR,SEMENANJUNG,SME_SMALL,MY,DE,EU,52139.0,"LOJI ELEKTRIK DAN ALAT GANTI, TSTL",Malaysia,Germany
IMPORT,10,2022,SELANGOR,SEMENANJUNG,LARGE,MY,PL,EU,219906.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Poland
IMPORT,12,2019,SELANGOR,SEMENANJUNG,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",19677.0,"BARANG-BARANG PLASTIK, TSTL",Malaysia,China
IMPORT,9,2024,SELANGOR,SEMENANJUNG,SME_MICRO,MY,SG,AFTA,8.0,"BARANG-BARANG PLASTIK, TSTL",Malaysia,Singapore
IMPORT,5,2017,SELANGOR,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",62207.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,China
IMPORT,12,2019,PULAU PINANG,SEMENANJUNG,LARGE,MY,JP,"OTHER COUNTRIES, NES",256798.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,Japan
IMPORT,5,2023,SELANGOR,SEMENANJUNG,SME_SMALL,MY,CN,"OTHER COUNTRIES, NES",26484.0,SAYUR-SAYURAN,Malaysia,China
IMPORT,1,2014,KEDAH,SEMENANJUNG,LARGE,MY,DE,EU,403382.16,"SUSU DAN KRIM, TEPUNG",Malaysia,Germany
IMPORT,3,2024,SABAH,SABAH,LARGE,MY,CN,"OTHER COUNTRIES, NES",86359.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,China
IMPORT,11,2023,PULAU PINANG,SEMENANJUNG,LARGE,MY,KH,AFTA,309916.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Cambodia
IMPORT,10,2024,KEDAH,SEMENANJUNG,LARGE,MY,SG,AFTA,219677.0,KRISTAL PIEZO ELEKTRIK & ALAT GANTI,Malaysia,Singapore
IMPORT,8,2022,KEDAH,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",6134.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,China
IMPORT,6,2019,SELANGOR,ZON BEBAS,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",48663.39,SAYUR-SAYURAN,Malaysia,China
IMPORT,2,2022,PULAU PINANG,SEMENANJUNG,SME_SMALL,MY,BD,SAARC,25170.0,SAYUR-SAYURAN,Malaysia,Bangladesh
IMPORT,12,2017,SELANGOR,SEMENANJUNG,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",285821.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,China
IMPORT,7,2018,JOHOR,SEMENANJUNG,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",128798.0,"KAIN, TENUNAN, DARIPADA BENANG FILAMEN TIRUAN, SELAIN TENUNAN BULU DAN CHENILLE",Malaysia,China
IMPORT,7,2024,SELANGOR,SEMENANJUNG,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",121656.0,"BARANG-BARANG PLASTIK, TSTL",Malaysia,China
IMPORT,6,2020,SELANGOR,SEMENANJUNG,LARGE,MY,HU,EU,190393.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Hungary
